model_id,solution_index,gene,L_value
031_9_0,0,v_ACE2,2
031_9_0,0,v_CLN3,4
031_9_0,0,v_HCM1,10
031_9_0,0,v_MBF,4
031_9_0,0,v_SBF,2
031_9_0,0,v_SFF,14
031_9_0,0,v_SWI5,3
031_9_0,0,v_YHP1,15
031_9_0,0,v_YOX1,5
