model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
110_9_0,v_CckA,13,False,"[0, 1]","[1, 1]",0.105
110_9_0,v_ChpT,13,False,"[0, 1]","[1, 1]",0.105
110_9_0,v_ClpXP_RcdA,17,True,"[1, 0]","[1, 0]",0.105
110_9_0,v_CpdR,13,False,"[0, 1]","[1, 1]",0.105
110_9_0,v_CtrAb,3,True,"[0, 0, 1, 0]","[0, 0, 1, 0]",0.105
110_9_0,v_DivJ,7,False,"[0, 0, 1, 0]","[0, 0, 1, 1]",0.105
110_9_0,v_DivK,7,False,"[0, 0, 1, 0]","[0, 0, 1, 1]",0.105
110_9_0,v_DivL,17,True,"[1, 0]","[1, 0]",0.105
110_9_0,v_PleC,17,True,"[1, 0]","[1, 0]",0.105
