model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
031_9_0,v_ACE2,MISSING,False,"[0, 1]",[],
031_9_0,v_CLN3,MISSING,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[],
031_9_0,v_HCM1,MISSING,False,"[0, 0, 0, 1]",[],
031_9_0,v_MBF,MISSING,False,"[0, 1]",[],
031_9_0,v_SBF,MISSING,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",[],
031_9_0,v_SFF,MISSING,False,"[0, 0, 0, 1]",[],
031_9_0,v_SWI5,MISSING,False,"[0, 1]",[],
031_9_0,v_YHP1,MISSING,False,"[0, 1, 1, 1]",[],
031_9_0,v_YOX1,MISSING,False,"[0, 0, 0, 1]",[],
