model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
031_9_0,v_ACE2,4,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_CLN3,2,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_HCM1,6,False,"[0, 0, 0, 1]","[0, 1, 1, 1]",0.0
031_9_0,v_MBF,14,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_SBF,3,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_SFF,12,False,"[0, 0, 0, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_SWI5,15,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_YHP1,13,False,"[0, 1, 1, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_YOX1,8,False,"[0, 0, 0, 1]","[0, 1, 1, 1]",0.0
