model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
110_9_0,v_CckA,2,True,"[0, 1]","[0, 1]",0.405
110_9_0,v_ChpT,0,True,"[0, 1]","[0, 1]",0.405
110_9_0,v_ClpXP_RcdA,17,True,"[1, 0]","[1, 0]",0.405
110_9_0,v_CpdR,0,True,"[0, 1]","[0, 1]",0.405
110_9_0,v_CtrAb,2,True,"[0, 0, 1, 0]","[0, 0, 1, 0]",0.405
110_9_0,v_DivJ,7,False,"[0, 0, 1, 0]","[0, 0, 1, 1]",0.405
110_9_0,v_DivK,5,False,"[0, 0, 1, 0]","[0, 0, 1, 1]",0.405
110_9_0,v_DivL,17,True,"[1, 0]","[1, 0]",0.405
110_9_0,v_PleC,17,True,"[1, 0]","[1, 0]",0.405
