model_id,solution_index,gene,L_value
007_5_0,0,v_Coup_fti,17
007_5_0,0,v_Emx2,13
007_5_0,0,v_Fgf8,9
007_5_0,0,v_Pax6,3
007_5_0,0,v_Sp8,15
