model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
031_9_0,v_ACE2,2,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_CLN3,2,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_HCM1,0,True,"[0, 0, 0, 1]","[0, 0, 0, 1]",0.0
031_9_0,v_MBF,9,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_SBF,15,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1]",0.0
031_9_0,v_SFF,4,True,"[0, 0, 0, 1]","[0, 0, 0, 1]",0.0
031_9_0,v_SWI5,2,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_YHP1,10,False,"[0, 1, 1, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_YOX1,15,False,"[0, 0, 0, 1]","[1, 1, 1, 1]",0.0
