model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
031_9_0,v_ACE2,1,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_CLN3,10,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_HCM1,12,False,"[0, 0, 0, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_MBF,16,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_SBF,10,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_SFF,12,False,"[0, 0, 0, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_SWI5,3,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_YHP1,15,False,"[0, 1, 1, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_YOX1,2,True,"[0, 0, 0, 1]","[0, 0, 0, 1]",0.0
