model_id,solution_index,gene,L_value
031_9_0,0,v_ACE2,9
031_9_0,0,v_CLN3,5
031_9_0,0,v_HCM1,0
031_9_0,0,v_MBF,7
031_9_0,0,v_SBF,2
031_9_0,0,v_SFF,6
031_9_0,0,v_SWI5,12
031_9_0,0,v_YHP1,7
031_9_0,0,v_YOX1,7
