model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
110_9_0,v_CckA,0,True,"[0, 1]","[0, 1]",0.035
110_9_0,v_ChpT,1,True,"[0, 1]","[0, 1]",0.035
110_9_0,v_ClpXP_RcdA,0,False,"[1, 0]","[0, 0]",0.035
110_9_0,v_CpdR,1,True,"[0, 1]","[0, 1]",0.035
110_9_0,v_CtrAb,15,False,"[0, 0, 1, 0]","[1, 0, 1, 1]",0.035
110_9_0,v_DivJ,0,True,"[0, 0, 1, 0]","[0, 0, 1, 0]",0.035
110_9_0,v_DivK,15,False,"[0, 0, 1, 0]","[1, 0, 1, 1]",0.035
110_9_0,v_DivL,17,True,"[1, 0]","[1, 0]",0.035
110_9_0,v_PleC,17,True,"[1, 0]","[1, 0]",0.035
