model_id,solution_index,gene,L_value
110_9_0,0,v_CckA,3
110_9_0,0,v_ChpT,0
110_9_0,0,v_ClpXP_RcdA,17
110_9_0,0,v_CpdR,0
110_9_0,0,v_CtrAb,7
110_9_0,0,v_DivJ,7
110_9_0,0,v_DivK,15
110_9_0,0,v_DivL,17
110_9_0,0,v_PleC,17
