model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
031_9_0,v_ACE2,1,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_CLN3,3,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_HCM1,11,False,"[0, 0, 0, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_MBF,0,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_SBF,3,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_SFF,12,False,"[0, 0, 0, 1]","[1, 1, 1, 1]",0.0
031_9_0,v_SWI5,15,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_YHP1,4,False,"[0, 1, 1, 1]","[0, 0, 0, 1]",0.0
031_9_0,v_YOX1,3,False,"[0, 0, 0, 1]","[0, 1, 1, 1]",0.0
